Campaign,Daily Budget,Network,Location,Language,Bidding Strategy,Max CPC
TBX | Search | Joyas Coronas | LATAM,18.00,Search only,"Argentina; Mexico; Colombia; Chile; Peru; Spain",Spanish,Maximize clicks,2.50
TBX | Search | Conquista Competidores | LATAM,10.00,Search only,"Argentina; Mexico; Colombia; Chile; Peru; Spain",Spanish,Maximize clicks,3.00
TBX | Search | Lead Magnet Excel | LATAM,12.00,Search only,"Argentina; Mexico; Colombia; Chile; Peru; Spain",Spanish,Maximize clicks,1.50
TBX | Search | Rentabilidad BOFU | LATAM,10.00,Search only,"Argentina; Mexico; Colombia; Chile; Peru; Spain",Spanish,Maximize clicks,2.50
TBX | Search | Monitor PPC | LATAM,6.00,Search only,"Argentina; Mexico; Colombia; Chile; Peru; Spain",Spanish,Maximize clicks,3.50
